frame,track_id,x1,y1,x2,y2,keypoints
11,1,247,584,533,815,
12,1,242,599,520,825,"[[[290.0576477050781, 656.95654296875], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [328.22637939453125, 651.8826293945312], [313.4930114746094, 662.6910400390625], [375.8125, 665.1431274414062], [341.40191650390625, 668.2542724609375], [398.3348388671875, 659.0245361328125], [348.19219970703125, 644.9522094726562], [394.8130187988281, 702.6483764648438], [384.6426086425781, 711.651611328125], [417.33905029296875, 689.7100830078125], [413.572265625, 696.6322631835938], [464.5689392089844, 712.5380859375], [461.72344970703125, 714.648681640625]]]"
13,1,241,600,520,829,"[[[287.18505859375, 650.9215698242188], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [327.2237548828125, 671.3983764648438], [313.4039611816406, 665.4860229492188], [380.414794921875, 673.7723388671875], [351.2729797363281, 650.2118530273438], [437.3642272949219, 678.6797485351562], [366.91619873046875, 639.8560180664062], [382.8446044921875, 705.4396362304688], [377.4128112792969, 706.6500244140625], [412.0773010253906, 713.0281982421875], [419.3513488769531, 702.7714233398438], [444.7266845703125, 733.6603393554688], [473.3861389160156, 718.1405639648438]]]"
14,1,239,603,520,834,
15,1,236,606,519,839,"[[[291.536376953125, 657.6769409179688], [287.2265930175781, 652.4552001953125], [284.2689514160156, 655.2664794921875], [285.36431884765625, 652.274658203125], [0.0, 0.0], [307.9130554199219, 663.0594482421875], [306.1360778808594, 673.41943359375], [355.754150390625, 660.4710083007812], [354.13018798828125, 680.8419799804688], [368.2814636230469, 651.26904296875], [369.0775146484375, 653.8809814453125], [370.8267517089844, 710.8202514648438], [368.1177673339844, 718.45263671875], [372.4634094238281, 742.7152099609375], [374.7937316894531, 750.7199096679688], [364.99188232421875, 786.5064697265625], [368.2770690917969, 795.48486328125]]]"
16,1,234,610,519,844,
17,1,231,613,518,849,"[[[284.2884521484375, 664.7857666015625], [283.1923522949219, 659.5496215820312], [280.69317626953125, 663.2650756835938], [291.6023864746094, 656.471923828125], [0.0, 0.0], [315.4090576171875, 662.24169921875], [301.9296569824219, 681.25], [370.6131591796875, 651.6278076171875], [334.8213806152344, 683.461181640625], [374.7726745605469, 648.6813354492188], [352.86407470703125, 652.3695068359375], [369.4951477050781, 694.23486328125], [359.11907958984375, 707.2495727539062], [415.8974914550781, 700.779296875], [405.6192626953125, 714.0841674804688], [441.5118103027344, 716.2183227539062], [430.0775146484375, 730.603271484375]]]"
18,1,229,616,518,854,"[[[286.6512756347656, 672.7820434570312], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [302.1483459472656, 669.2516479492188], [309.9690246582031, 675.6231079101562], [346.14044189453125, 667.1204223632812], [363.2237854003906, 679.6807250976562], [375.04254150390625, 658.4365234375], [385.1795654296875, 656.7482299804688], [351.2951965332031, 698.3513793945312], [355.1355285644531, 705.9935913085938], [419.0267333984375, 696.5194702148438], [424.85028076171875, 703.50048828125], [451.92205810546875, 722.0662841796875], [460.2300109863281, 727.7518310546875]]]"
18,3,242,624,498,746,"[[[286.6512756347656, 672.7820434570312], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [302.1483459472656, 669.2516479492188], [309.9690246582031, 675.6231079101562], [346.14044189453125, 667.1204223632812], [363.2237854003906, 679.6807250976562], [375.04254150390625, 658.4365234375], [385.1795654296875, 656.7482299804688], [351.2951965332031, 698.3513793945312], [355.1355285644531, 705.9935913085938], [419.0267333984375, 696.5194702148438], [424.85028076171875, 703.50048828125], [451.92205810546875, 722.0662841796875], [460.2300109863281, 727.7518310546875]]]"
19,1,226,619,518,858,"[[[283.2671203613281, 674.012451171875], [281.4944763183594, 670.2426147460938], [281.67431640625, 672.1680297851562], [288.3819580078125, 666.5542602539062], [0.0, 0.0], [304.9142761230469, 673.4925537109375], [307.45477294921875, 681.0369873046875], [351.1782531738281, 671.4412231445312], [358.5887145996094, 684.4696655273438], [370.0602722167969, 662.3928833007812], [373.8835144042969, 660.6937255859375], [356.63067626953125, 707.9819946289062], [357.6650390625, 715.77294921875], [410.542724609375, 700.1649169921875], [413.8016662597656, 707.20361328125], [462.8966064453125, 719.9225463867188], [466.7342224121094, 725.6885986328125]]]"
