frame,track_id,x1,y1,x2,y2,keypoints
6,4,0,307,201,454,"[[[73.17204284667969, 335.9980773925781], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [56.84470748901367, 335.27349853515625], [77.44252014160156, 351.65093994140625], [41.55614471435547, 355.3349609375], [102.8337631225586, 369.07757568359375], [47.22343444824219, 378.4197082519531], [105.92212677001953, 370.271240234375], [88.0254135131836, 371.2073669433594], [85.10220336914062, 393.2753601074219], [60.73704528808594, 399.8481750488281], [162.71011352539062, 403.1529235839844], [147.13516235351562, 410.67767333984375], [162.1480712890625, 437.72882080078125], [162.293701171875, 446.4068908691406]]]"
7,1,796,299,960,435,"[[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [904.8363037109375, 322.96148681640625], [849.4520263671875, 335.7364501953125], [909.6471557617188, 340.6837463378906], [826.8471069335938, 356.60711669921875], [939.0259399414062, 359.31768798828125], [845.0454711914062, 364.89447021484375], [945.0712280273438, 356.6637878417969], [837.6756591796875, 388.6216125488281], [881.044921875, 391.66192626953125], [854.1729736328125, 380.9524230957031], [935.3656005859375, 384.03173828125], [818.365234375, 413.6446228027344], [927.1931762695312, 419.8021240234375]]]"
7,2,877,130,982,233,"[[[927.5670166015625, 144.71701049804688], [929.6341552734375, 142.10255432128906], [0.0, 0.0], [936.7067260742188, 142.95742797851562], [0.0, 0.0], [948.7254638671875, 155.9044647216797], [924.5863037109375, 153.45919799804688], [940.356689453125, 172.13006591796875], [900.1234130859375, 163.3732452392578], [917.4251708984375, 178.42977905273438], [890.2088623046875, 174.91531372070312], [960.253662109375, 187.19497680664062], [943.3353271484375, 185.412353515625], [954.3759155273438, 188.5933380126953], [927.3860473632812, 186.15956115722656], [961.8082275390625, 219.11183166503906], [934.7340698242188, 215.12200927734375]]]"
7,4,0,307,202,455,"[[[60.06610107421875, 338.2786560058594], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [47.45393753051758, 337.0755310058594], [56.068870544433594, 352.2547607421875], [44.43468475341797, 355.1717529296875], [82.3570785522461, 367.45050048828125], [65.88475799560547, 375.8967590332031], [92.90337371826172, 366.06573486328125], [93.68372344970703, 367.5566101074219], [72.22843170166016, 390.2457580566406], [63.462223052978516, 395.697509765625], [146.97720336914062, 405.7431945800781], [141.740478515625, 411.3545227050781], [159.60311889648438, 438.91546630859375], [160.43414306640625, 445.31585693359375]]]"
8,1,786,303,949,438,"[[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [896.7044677734375, 330.10400390625], [846.7561645507812, 334.8830871582031], [894.7260131835938, 344.6474304199219], [841.2982177734375, 349.622802734375], [921.244873046875, 360.4266662597656], [0.0, 0.0], [936.4580688476562, 359.9831237792969], [824.982177734375, 379.03875732421875], [859.4058837890625, 384.33740234375], [858.0257568359375, 388.04315185546875], [925.87548828125, 392.9313659667969], [813.9349975585938, 413.6266174316406], [907.4078979492188, 421.96856689453125]]]"
8,2,866,131,969,233,"[[[911.0611572265625, 145.91973876953125], [912.2666015625, 143.17294311523438], [910.053466796875, 143.86607360839844], [0.0, 0.0], [0.0, 0.0], [931.7106323242188, 154.31881713867188], [903.0846557617188, 155.11273193359375], [949.6551513671875, 169.13914489746094], [882.1386108398438, 164.80052185058594], [941.478759765625, 183.0311737060547], [876.98583984375, 176.3631134033203], [938.6141357421875, 186.8084259033203], [919.3307495117188, 187.26722717285156], [944.0030517578125, 183.59364318847656], [912.0292358398438, 183.51954650878906], [953.350341796875, 208.12872314453125], [918.632568359375, 207.86338806152344]]]"
8,4,-6,310,190,455,"[[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [56.05284118652344, 337.8057556152344], [55.7065544128418, 355.776611328125], [54.571189880371094, 354.9162292480469], [83.44799041748047, 370.45587158203125], [80.50450897216797, 373.6366882324219], [103.75235748291016, 369.0811767578125], [108.20906066894531, 369.6614685058594], [67.6443862915039, 392.77581787109375], [66.02980041503906, 395.98638916015625], [145.05538940429688, 398.47088623046875], [142.79281616210938, 401.5897216796875], [153.44827270507812, 437.912841796875], [153.8992919921875, 440.9500732421875]]]"
9,1,781,309,937,436,"[[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [882.2409057617188, 337.0085754394531], [850.9356689453125, 344.0506591796875], [876.855224609375, 338.85211181640625], [853.724609375, 366.70648193359375], [899.9453735351562, 354.21112060546875], [891.4426879882812, 366.5664978027344], [933.60302734375, 359.1836242675781], [821.3253173828125, 368.1832580566406], [843.8900756835938, 367.43658447265625], [854.1832885742188, 385.41510009765625], [913.1022338867188, 381.70208740234375], [813.5900268554688, 412.39593505859375], [907.3515625, 414.4162902832031]]]"
9,2,853,131,957,234,"[[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [898.1124877929688, 145.47650146484375], [0.0, 0.0], [894.6804809570312, 155.0787353515625], [920.8948974609375, 152.0255126953125], [873.8145751953125, 169.1884307861328], [934.0703125, 163.6288604736328], [864.7477416992188, 178.6361083984375], [924.0443115234375, 173.16445922851562], [917.970703125, 183.24636840820312], [933.7583618164062, 181.99000549316406], [907.1456298828125, 187.81304931640625], [920.2980346679688, 186.21546936035156], [927.5870361328125, 212.7238006591797], [938.3040161132812, 209.44314575195312]]]"
9,4,-9,311,186,455,"[[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [882.2409057617188, 337.0085754394531], [850.9356689453125, 344.0506591796875], [876.855224609375, 338.85211181640625], [853.724609375, 366.70648193359375], [899.9453735351562, 354.21112060546875], [891.4426879882812, 366.5664978027344], [933.60302734375, 359.1836242675781], [821.3253173828125, 368.1832580566406], [843.8900756835938, 367.43658447265625], [854.1832885742188, 385.41510009765625], [913.1022338867188, 381.70208740234375], [813.5900268554688, 412.39593505859375], [907.3515625, 414.4162902832031]]]"
