frame,track_id,x1,y1,x2,y2,keypoints
11,1,183,575,490,837,"[[[314.8932800292969, 631.1245727539062], [316.23382568359375, 623.6342163085938], [308.7786865234375, 625.5396728515625], [0.0, 0.0], [0.0, 0.0], [343.3157043457031, 661.6151733398438], [277.8775329589844, 671.7859497070312], [403.58941650390625, 667.806640625], [228.44256591796875, 691.3760375976562], [462.29541015625, 663.08154296875], [228.52542114257812, 674.9130859375], [358.4184875488281, 776.2401733398438], [321.378173828125, 783.5240478515625], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]]"
12,1,221,580,518,840,"[[[308.4906311035156, 636.9374389648438], [313.8218078613281, 630.3783569335938], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [342.289794921875, 660.9818115234375], [296.248046875, 673.8695678710938], [403.31439208984375, 669.1969604492188], [277.67791748046875, 705.2627563476562], [461.7004089355469, 661.4553833007812], [298.81494140625, 683.2606811523438], [350.38165283203125, 779.9248657226562], [317.65667724609375, 786.7788696289062], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]]"
13,1,237,585,524,840,"[[[315.88494873046875, 636.663818359375], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [342.4913024902344, 664.81591796875], [294.24090576171875, 677.5011596679688], [404.1045837402344, 672.3043212890625], [281.79107666015625, 709.7955322265625], [459.31011962890625, 660.4061889648438], [308.5077819824219, 678.125732421875], [347.99810791015625, 787.0881958007812], [314.20098876953125, 794.1381225585938], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]]"
14,1,243,589,521,841,"[[[317.85205078125, 627.8142700195312], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [344.7362976074219, 668.2069091796875], [295.66302490234375, 678.1792602539062], [404.59063720703125, 680.7926025390625], [282.4539794921875, 711.90478515625], [458.9029541015625, 663.0440063476562], [310.4100646972656, 676.139404296875], [346.9374084472656, 791.46484375], [313.3398132324219, 797.1343994140625], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]]"
15,1,254,593,522,839,"[[[326.82366943359375, 632.3441772460938], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [351.71002197265625, 670.6397094726562], [299.2804870605469, 683.9703369140625], [402.9483642578125, 679.5850219726562], [291.4236755371094, 719.0296630859375], [451.9850158691406, 663.9361572265625], [321.8662414550781, 676.9834594726562], [351.002685546875, 784.920654296875], [315.535888671875, 791.24365234375], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]]"
16,1,261,599,518,839,"[[[333.644287109375, 638.593017578125], [337.16534423828125, 633.3840942382812], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [358.681640625, 677.6503295898438], [304.3127136230469, 682.0926513671875], [406.4621276855469, 693.924560546875], [290.2801513671875, 711.2344360351562], [454.9686279296875, 681.9255981445312], [323.1814880371094, 678.945068359375], [352.4457092285156, 783.7381591796875], [316.5276794433594, 787.1047973632812], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]]"
17,1,266,610,509,839,"[[[333.6788330078125, 658.018798828125], [335.77191162109375, 650.6170654296875], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [353.6244812011719, 691.0802001953125], [301.1456298828125, 696.4251708984375], [412.0225524902344, 688.9942016601562], [289.260498046875, 704.3546142578125], [467.595458984375, 686.0552978515625], [326.8784484863281, 674.9575805664062], [347.056884765625, 798.7257690429688], [310.90301513671875, 803.4209594726562], [361.2547607421875, 847.556884765625], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]]"
18,1,268,613,506,838,"[[[344.97357177734375, 651.891845703125], [349.5482482910156, 645.6082763671875], [340.86236572265625, 644.6604614257812], [0.0, 0.0], [0.0, 0.0], [358.4008483886719, 688.3034057617188], [311.1307373046875, 686.320556640625], [407.1676330566406, 684.0341186523438], [305.91192626953125, 690.90087890625], [461.660400390625, 680.7863159179688], [350.9385070800781, 677.8931884765625], [345.4695739746094, 795.4473266601562], [310.25872802734375, 797.0159301757812], [372.04718017578125, 836.8321533203125], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]]"
19,1,273,621,502,838,"[[[363.37957763671875, 665.1389770507812], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [363.67559814453125, 684.9067993164062], [308.5836181640625, 689.062255859375], [416.0478210449219, 686.3257446289062], [290.2325744628906, 711.1215209960938], [459.2935791015625, 681.5014038085938], [330.5911560058594, 706.8092041015625], [350.3993835449219, 794.265625], [310.219970703125, 800.1846313476562], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]]"
20,1,277,630,498,839,"[[[368.3645324707031, 689.98095703125], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [357.3994140625, 698.867431640625], [309.7353820800781, 707.296875], [411.15960693359375, 695.2301635742188], [290.5716247558594, 726.1180419921875], [460.33624267578125, 690.632568359375], [339.5777587890625, 712.4088745117188], [345.5309753417969, 794.565185546875], [311.056640625, 802.750244140625], [366.89910888671875, 811.5234375], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]]"
21,1,233,639,457,840,"[[[192.3633575439453, 686.5772094726562], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [201.14089965820312, 689.87939453125], [230.32064819335938, 707.5125122070312], [229.0198974609375, 712.8977661132812], [309.7543640136719, 714.512451171875], [294.92626953125, 725.802734375], [388.4182434082031, 694.1964111328125], [331.58636474609375, 698.9816284179688], [324.9474792480469, 747.0725708007812], [326.47613525390625, 756.0267944335938], [384.87738037109375, 746.650390625], [384.93701171875, 740.2937622070312], [447.54864501953125, 738.6276245117188], [457.89715576171875, 725.197265625]]]"
22,1,214,644,442,839,"[[[190.63587951660156, 690.9494018554688], [0.0, 0.0], [190.56356811523438, 688.3034057617188], [0.0, 0.0], [201.194091796875, 692.818359375], [224.37059020996094, 708.6163330078125], [232.89572143554688, 718.02099609375], [297.40576171875, 714.405029296875], [297.5122985839844, 732.4694213867188], [356.72821044921875, 703.28564453125], [330.2015075683594, 708.9741821289062], [324.4624938964844, 745.3765869140625], [330.95068359375, 757.43212890625], [384.88983154296875, 725.3262939453125], [384.80865478515625, 731.9791259765625], [445.3990173339844, 714.4500732421875], [456.34564208984375, 721.63232421875]]]"
23,1,207,648,438,835,"[[[197.55189514160156, 686.0758056640625], [0.0, 0.0], [195.51153564453125, 684.3690185546875], [0.0, 0.0], [199.87359619140625, 692.6611938476562], [218.39389038085938, 708.8165283203125], [230.52650451660156, 723.760009765625], [302.80352783203125, 713.3543701171875], [305.1629943847656, 739.9357299804688], [375.3568115234375, 708.322265625], [345.5304260253906, 718.0447998046875], [314.37969970703125, 749.8661499023438], [323.7275085449219, 765.3656005859375], [379.8157653808594, 718.3720092773438], [385.207763671875, 730.7727661132812], [444.60845947265625, 708.48681640625], [457.5423583984375, 720.3131713867188]]]"
